work_id,row_number,normalized_title,resolved_title,existing_app_content_id,resolved_tmdb_id,resolved_media_type,duplicate_check_result,import_result,status_result,failure_reason
1,2,나의 히어로 아카데미아,나의 히어로 아카데미아,064b1bd2-526c-418c-b595-795b7d1bc52b,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
2,3,헌터X헌터,헌터X헌터,,,,no_existing_match,manual_review,skipped_manual_review,"low or ambiguous TMDB confidence: best=107, second=106"
3,4,일곱 개의 대죄,일곱 개의 대죄,,62104,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
4,5,니돈내산 독박투어,니돈내산 독박투어,,227395,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
5,6,블랙 클로버,블랙 클로버,,73223,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
6,7,진격의 거인,진격의 거인,,1429,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
7,8,닥터 스톤,닥터 스톤,,86031,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
8,9,전생했더니 슬라임이었던 건에 대하여,전생했더니 슬라임이었던 건에 대하여,,82684,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
9,10,런닝맨,런닝맨,,,,no_existing_match,manual_review,skipped_manual_review,"low or ambiguous TMDB confidence: best=110, second=104"
10,11,냉장고를 부탁해,냉장고를 부탁해,,73036,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
11,12,주술회전,주술회전,,95479,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
12,13,육룡이 나르샤,육룡이 나르샤,,63927,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
13,14,던전에서 만남을 추구하면 안 되는 걸까,던전에서 만남을 추구하면 안 되는 걸까,,62745,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
14,15,도쿄 구울,도쿄 구울,e725b470-b026-4b0d-be2f-363dfcfe43c2,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
15,16,방패 용사 성공담,방패 용사 성공담,,83095,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
16,17,불꽃 소방대,불꽃 소방대,2ca362a7-26d0-46e5-95f8-32fa00e9f809,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
17,18,소드 아트 온라인,소드 아트 온라인,,45782,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
18,19,종말의 발키리,종말의 발키리,,114868,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
19,20,도라이버,도라이버,,283647,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
20,21,코드 기어스,코드 기어스,,,,no_existing_match,manual_review,skipped_manual_review,"low or ambiguous TMDB confidence: best=23, second=0"
21,22,전현무계획,전현무계획,,246527,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
22,23,"틈만나면,","틈만나면,",,247805,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
23,24,격투맨 바키,격투맨 바키,,80623,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
24,25,달이 이끄는 이세계 여행,달이 이끄는 이세계 여행,,111819,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
25,26,무직전생 ~이세계에 갔으면 최선을 다한다~,무직전생 ~이세계에 갔으면 최선을 다한다~,,94664,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
26,27,장송의 프리렌,장송의 프리렌,,209867,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
27,28,고려 거란 전쟁,고려 거란 전쟁,,218290,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
28,29,기묘한 이야기,기묘한 이야기,,,,no_existing_match,manual_review,skipped_manual_review,"low or ambiguous TMDB confidence: best=110, second=105"
29,30,모범형사,모범형사,,99480,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
30,31,환혼,환혼,,135157,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
31,32,나는 솔로,나는 솔로,,,,no_existing_match,manual_review,skipped_manual_review,"low or ambiguous TMDB confidence: best=23, second=22"
32,33,미친맛집,미친맛집,,283645,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
33,34,경이로운 소문,경이로운 소문,,113268,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
34,35,니세코이,니세코이,,62640,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
35,36,SPYxFAMILY 스파이 패밀리,SPYxFAMILY 스파이 패밀리,,120089,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
36,37,나 혼자만 레벨업,나 혼자만 레벨업,,,,no_existing_match,manual_review,skipped_manual_review,"low or ambiguous TMDB confidence: best=107, second=104"
37,38,리갈하이,리갈하이,,85701,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
38,39,슈타인즈 게이트,슈타인즈 게이트,,42509,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
39,40,어둠의 실력자가 되고 싶어서!,어둠의 실력자가 되고 싶어서!,,119495,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
40,41,지구마불 세계여행,지구마불 세계여행,,219465,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
41,42,흑백요리사,흑백요리사,,245684,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
42,43,괴수 8호,괴수 8호,,207468,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
43,44,도쿄 리벤저스,도쿄 리벤저스,,105009,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
44,45,블루 록,블루 록,,131041,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
45,46,뿌리 깊은 나무,뿌리 깊은 나무,,41652,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
46,47,슈타인즈 게이트 제로,슈타인즈 게이트 제로,,78102,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
47,48,신들에게 주워진 남자,신들에게 주워진 남자,,102086,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
48,49,엘리트들,엘리트들,,76669,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
49,50,원펀맨,원펀맨,,63926,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
50,51,단다단,단다단,,240411,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
51,52,오징어 게임,오징어 게임,,93405,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
52,53,사카모토 데이즈,사카모토 데이즈,,207332,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
53,54,달의 연인 - 보보경심 려,달의 연인 - 보보경심 려,,66433,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
54,55,드래곤볼 다이마,드래곤볼 다이마,,236994,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
55,56,미녀 공심이,미녀 공심이,,66431,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
56,57,빈센조,빈센조,,117376,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
57,58,응답하라 1988,응답하라 1988,74e6caef-adf5-484c-958d-122fc08c05ea,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
58,59,"A랭크 파티를 이탈한 나는, 전 제자들과 미궁 심부를 목표로 한다.","A랭크 파티를 이탈한 나는, 전 제자들과 미궁 심부를 목표로 한다.",,270487,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
59,60,던전밥,던전밥,,207784,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
60,61,플런더러,플런더러,,93149,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
61,62,라디에이션 하우스,라디에이션 하우스,d80031c6-06c4-40ab-8e62-b9cbf79d13b5,88264,tv,tmdb_existing_match,dry_run_tmdb_existing_status_update,would_update_completed,
62,63,미스터 션샤인,미스터 션샤인,,75820,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
63,64,아스달 연대기,아스달 연대기,,88463,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
64,65,푸른 상자,푸른 상자,,207347,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
65,66,경성크리처,경성크리처,,135238,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
66,67,모범택시,모범택시,,119769,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
67,68,갯마을 차차차,갯마을 차차차,,128883,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
68,69,굿보이,굿보이,,231280,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
69,70,굿파트너,굿파트너,,243761,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
70,71,귀궁,귀궁,,259486,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
71,72,그 해 우리는,그 해 우리는,,135897,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
72,73,기상청 사람들,기상청 사람들,,152511,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
73,74,낮과 밤,낮과 밤,,113113,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
74,75,낮과 밤이 다른 그녀,낮과 밤이 다른 그녀,,231749,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
75,76,눈물의 여왕,눈물의 여왕,,215720,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
76,77,닥터 차정숙,닥터 차정숙,,214997,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
77,78,더 글로리,더 글로리,,136283,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
78,79,더케이투,더케이투,,67391,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
79,80,런 온,런 온,,113240,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
80,81,루갈,루갈,,97766,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
81,82,마성의 기쁨,마성의 기쁨,,82102,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
82,83,마이 데몬,마이 데몬,,218539,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
83,84,무법변호사,무법변호사,,78796,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
84,85,별들에게 물어봐,별들에게 물어봐,,154822,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
85,86,불가살,불가살,,137520,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
86,87,사랑의 불시착,사랑의 불시착,,94796,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
87,88,사랑의 이해,사랑의 이해,,211746,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
88,89,성+인물,성+인물,,,,no_existing_match,manual_review,skipped_manual_review,"low or ambiguous TMDB confidence: best=70, second=70"
89,90,스물다섯 스물하나,스물다섯 스물하나,,129888,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
90,91,스토브리그,스토브리그,de2fdd17-a884-461c-bbd6-f86358f32c13,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
91,92,신이랑 법률사무소,신이랑 법률사무소,79fb52af-9728-4f3f-b637-389fed2e4c21,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
92,93,언더커버 미쓰홍,언더커버 미쓰홍,c2687c12-ecc1-49a9-99f5-8f055e038b56,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
93,94,얼어죽을 연애따위,얼어죽을 연애따위,,197073,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
94,95,옥씨부인전,옥씨부인전,,226649,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
95,96,웰컴투 삼달리,웰컴투 삼달리,,219651,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
96,97,은애하는 도적님아,은애하는 도적님아,,301886,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
97,98,이 연애는 불가항력,이 연애는 불가항력,,215001,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
98,99,이번 생은 처음이라,이번 생은 처음이라,,74074,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
99,100,이상한 변호사 우영우,이상한 변호사 우영우,,197067,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
100,101,일타 스캔들,일타 스캔들,,202318,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
101,102,조립식 가족,조립식 가족,,,,no_existing_match,manual_review,skipped_manual_review,"low or ambiguous TMDB confidence: best=105, second=104"
102,103,킹더랜드,킹더랜드,,198004,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
103,104,태어난 김에 세계일주,태어난 김에 세계일주,,216150,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
104,105,태풍상사,태풍상사,,280946,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
105,106,폭싹 속았수다,폭싹 속았수다,6ba4620e-6290-4ea7-a503-abe9041205bc,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
106,107,힘쎈여자 강남순,힘쎈여자 강남순,,203164,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
107,108,힙하게,힙하게,,210107,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
108,109,도깨비,도깨비,,67915,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
109,110,로스쿨,로스쿨,,119773,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
110,111,사냥개들,사냥개들,,127529,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
111,112,포 라이프,포 라이프,,92053,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
112,113,김비서가 왜 그럴까,김비서가 왜 그럴까,,79434,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
113,114,나쁜엄마,나쁜엄마,,214999,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
114,115,보라! 데보라,보라! 데보라,,210586,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
115,116,아픈 건 싫으니까 방어력에 올인하려고 합니다,아픈 건 싫으니까 방어력에 올인하려고 합니다,,96402,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
116,117,오늘도 사랑스럽개,오늘도 사랑스럽개,,209502,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
117,118,오버로드,오버로드,,64196,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
118,119,월간집,월간집,,120057,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
119,120,일하는 세포,일하는 세포,,80671,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
120,121,재벌집 막내아들,재벌집 막내아들,,153496,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
121,122,키스는 괜히 해서!,키스는 괜히 해서!,dac462df-bdaa-476d-9481-d08fc4c359da,,,existing_app_match,dry_run_existing_status_update,would_update_completed,
122,123,다 이루어질지니,다 이루어질지니,,228689,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
123,124,시지프스,시지프스,,113622,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
124,125,신입사관 구해령,신입사관 구해령,,90721,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
125,126,야마다 군과 Lv999의 사랑을 하다,야마다 군과 Lv999의 사랑을 하다,,208067,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
126,127,이 구역의 미친 X,이 구역의 미친 X,,125350,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
127,128,이세계 삼촌,이세계 삼촌,,127714,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
128,129,이세계에서 치트 스킬을 얻은 나는 현실 세계에서도 무쌍한다 ~레벨업이 인생을 바꿨다~,이세계에서 치트 스킬을 얻은 나는 현실 세계에서도 무쌍한다 ~레벨업이 인생을 바꿨다~,,208493,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
129,130,D.P.,D.P.,,110534,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
130,131,가석방심사관 이한신,가석방심사관 이한신,,236437,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
131,132,감자연구소,감자연구소,,254391,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
132,133,구경이,구경이,,129475,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
133,134,끝내주는 해결사,끝내주는 해결사,,222425,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
134,135,나는 모든 것을 【패리】한다 ~역착각의 세계 최강은 모험가가 되고 싶다~,나는 모든 것을 【패리】한다 ~역착각의 세계 최강은 모험가가 되고 싶다~,,238892,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
135,136,나의 완벽한 비서,나의 완벽한 비서,,233100,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
136,137,남이 될 수 있을까,남이 될 수 있을까,,213655,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
137,138,러브 미,러브 미,,275989,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
138,139,마슐,마슐,,204832,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
139,140,무인도의 디바,무인도의 디바,,216310,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
140,141,비밀은 없어,비밀은 없어,,211705,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
141,142,사내맞선,사내맞선,,154825,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
142,143,사장님을 잠금해제,사장님을 잠금해제,,155459,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
143,144,서울 자가에 대기업 다니는 김 부장 이야기,서울 자가에 대기업 다니는 김 부장 이야기,,275592,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
144,145,성검학원의 마검사,성검학원의 마검사,,136840,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
145,146,셀러브리티,셀러브리티,,131305,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
146,147,"신성한, 이혼","신성한, 이혼",,204241,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
147,148,신중용사 ~이 용사가 ZZANG센 주제에 너무 신중하다~,신중용사 ~이 용사가 ZZANG센 주제에 너무 신중하다~,,93256,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
148,149,실격문장의 최강현자,실격문장의 최강현자,,117884,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
149,150,쌍갑포차,쌍갑포차,,99491,tv,no_existing_match,dry_run_new_content_to_create,would_update_completed,
